X,Y,Predicted,Number of 1's,A2,Z2,A1,Z1
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.01, 8.81, 7.69, 7.21]"
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.33, 5.02, 8.76, 7.28]"
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.05, 8.83, 7.87, 7.15]"
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0,0,4,0.02,-4.07,"[1.0, 0.98, 1.0, 1.0]","[10.83, 3.96, 8.06, 11.13]"
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.55, 7.77, 7.16, 11.0]"
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",0,0,5,0.02,-4.07,"[1.0, 0.98, 1.0, 1.0]","[10.88, 3.98, 8.23, 11.07]"
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.6, 7.79, 7.33, 10.95]"
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0,0,2,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.65, 5.45, 4.72, 7.67]"
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",0,0,3,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.37, 9.26, 3.82, 7.54]"
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",0,0,3,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.7, 5.47, 4.89, 7.61]"
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",0,0,4,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.42, 9.28, 4.0, 7.48]"
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,0,3,0.02,-4.04,"[1.0, 0.99, 0.99, 1.0]","[11.2, 4.41, 4.19, 11.47]"
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",0,0,4,0.02,-4.01,"[1.0, 1.0, 0.96, 1.0]","[10.92, 8.22, 3.29, 11.34]"
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",0,0,4,0.02,-4.05,"[1.0, 0.99, 0.99, 1.0]","[11.24, 4.43, 4.36, 11.41]"
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",0,0,5,0.02,-4.03,"[1.0, 1.0, 0.97, 1.0]","[10.96, 8.24, 3.46, 11.28]"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.23, 5.05, 8.57, 7.28]"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.95, 8.86, 7.67, 7.15]"
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.28, 5.07, 8.74, 7.22]"
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.99, 8.88, 7.84, 7.09]"
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",0,0,4,0.02,-4.07,"[1.0, 0.98, 1.0, 1.0]","[10.77, 4.01, 8.03, 11.07]"
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.49, 7.82, 7.14, 10.95]"
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]",0,0,5,0.02,-4.07,"[1.0, 0.98, 1.0, 1.0]","[10.82, 4.03, 8.21, 11.02]"
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.54, 7.84, 7.31, 10.89]"
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.97, 9.88, 8.23, 10.95]"
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.69, 13.69, 7.33, 10.82]"
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[11.01, 9.9, 8.4, 10.89]"
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.73, 13.71, 7.5, 10.77]"
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",1,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.51, 8.84, 7.69, 14.75]"
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.23, 12.65, 6.8, 14.62]"
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.56, 8.86, 7.87, 14.69]"
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[14.28, 12.67, 6.97, 14.56]"
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.55, 9.48, 12.08, 10.56]"
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.27, 13.29, 11.18, 10.43]"
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.59, 9.5, 12.25, 10.5]"
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.31, 13.31, 11.35, 10.37]"
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.09, 8.44, 11.54, 14.36]"
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.81, 12.25, 10.65, 14.23]"
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.14, 8.46, 11.71, 14.3]"
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.85, 12.27, 10.82, 14.17]"
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,0,2,0.07,-2.64,"[0.98, 0.62, 0.99, 0.98]","[3.89, 0.48, 5.19, 3.94]"
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",0,0,3,0.02,-3.95,"[0.97, 0.99, 0.99, 0.98]","[3.61, 4.29, 4.29, 3.81]"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",0,0,3,0.07,-2.66,"[0.98, 0.62, 1.0, 0.98]","[3.94, 0.5, 5.36, 3.88]"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",0,0,4,0.02,-3.96,"[0.97, 0.99, 0.99, 0.98]","[3.66, 4.31, 4.46, 3.75]"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0,0,3,0.15,-1.76,"[1.0, 0.36, 0.99, 1.0]","[7.44, -0.56, 4.65, 7.73]"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0,0,4,0.02,-3.91,"[1.0, 0.96, 0.98, 1.0]","[7.16, 3.25, 3.76, 7.6]"
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",0,0,4,0.14,-1.78,"[1.0, 0.37, 0.99, 1.0]","[7.48, -0.54, 4.82, 7.67]"
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",0,0,5,0.02,-3.93,"[1.0, 0.96, 0.98, 1.0]","[7.2, 3.26, 3.93, 7.54]"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",0,0,3,0.09,-2.27,"[0.97, 0.52, 1.0, 0.97]","[3.47, 0.08, 9.03, 3.54]"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]",0,0,4,0.02,-3.94,"[0.96, 0.98, 1.0, 0.97]","[3.19, 3.89, 8.14, 3.42]"
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]",0,0,4,0.09,-2.29,"[0.97, 0.52, 1.0, 0.97]","[3.52, 0.1, 9.21, 3.49]"
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0,0,5,0.02,-3.94,"[0.96, 0.98, 1.0, 0.97]","[3.23, 3.91, 8.31, 3.36]"
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",1,0,4,0.19,-1.48,"[1.0, 0.28, 1.0, 1.0]","[7.02, -0.96, 8.5, 7.34]"
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0,0,5,0.02,-3.93,"[1.0, 0.95, 1.0, 1.0]","[6.73, 2.85, 7.6, 7.21]"
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",0,0,5,0.18,-1.49,"[1.0, 0.28, 1.0, 1.0]","[7.06, -0.94, 8.67, 7.28]"
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",0,0,6,0.02,-3.93,"[1.0, 0.95, 1.0, 1.0]","[6.78, 2.87, 7.78, 7.15]"
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.21, 4.91, 8.69, 7.22]"
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.93, 8.72, 7.8, 7.09]"
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.25, 4.93, 8.87, 7.16]"
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.97, 8.74, 7.97, 7.03]"
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.75, 3.87, 8.16, 11.02]"
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.47, 7.67, 7.26, 10.89]"
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.8, 3.89, 8.33, 10.96]"
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.52, 7.69, 7.44, 10.83]"
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.79, 4.51, 12.54, 6.83]"
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.51, 8.32, 11.65, 6.7]"
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.83, 4.53, 12.71, 6.77]"
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.55, 8.34, 11.82, 6.64]"
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.03,"[1.0, 0.97, 1.0, 1.0]","[10.33, 3.47, 12.01, 10.63]"
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.05, 7.28, 11.11, 10.5]"
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.03,"[1.0, 0.97, 1.0, 1.0]","[10.38, 3.49, 12.18, 10.57]"
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.09, 7.3, 11.28, 10.44]"
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.15, 4.96, 8.67, 7.16]"
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.87, 8.77, 7.78, 7.03]"
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",0,0,4,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.2, 4.98, 8.84, 7.1]"
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.91, 8.79, 7.95, 6.97]"
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",0,0,4,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.7, 3.92, 8.14, 10.96]"
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.41, 7.72, 7.24, 10.83]"
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 0]",0,0,5,0.02,-4.06,"[1.0, 0.98, 1.0, 1.0]","[10.74, 3.94, 8.31, 10.9]"
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.46, 7.74, 7.41, 10.77]"
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.73, 4.56, 12.52, 6.77]"
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.45, 8.37, 11.62, 6.64]"
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.77, 4.58, 12.69, 6.71]"
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.49, 8.39, 11.79, 6.58]"
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",0,0,5,0.02,-4.03,"[1.0, 0.97, 1.0, 1.0]","[10.27, 3.52, 11.99, 10.57]"
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[9.99, 7.33, 11.09, 10.44]"
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 0]",0,0,6,0.02,-4.03,"[1.0, 0.97, 1.0, 1.0]","[10.32, 3.54, 12.16, 10.51]"
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[10.04, 7.34, 11.26, 10.38]"
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.47, 9.39, 12.18, 10.45]"
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.19, 13.2, 11.28, 10.32]"
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.51, 9.41, 12.35, 10.39]"
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.23, 13.21, 11.46, 10.26]"
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.01, 8.35, 11.65, 14.24]"
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.73, 12.15, 10.75, 14.11]"
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[14.06, 8.36, 11.82, 14.18]"
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.78, 12.17, 10.92, 14.06]"
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.05, 8.99, 16.03, 10.06]"
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.76, 12.8, 15.13, 9.93]"
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.09, 9.01, 16.2, 10.0]"
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.81, 12.82, 15.3, 9.87]"
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",1,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[13.59, 7.95, 15.49, 13.85]"
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.31, 11.75, 14.6, 13.72]"
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",0,0,7,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[13.64, 7.97, 15.67, 13.79]"
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,8,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[13.35, 11.77, 14.77, 13.67]"
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0.12,-1.96,"[0.72, 0.85, 0.86, 0.66]","[0.96, 1.75, 1.79, 0.65]"
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,2,0.14,-1.81,"[0.66, 1.0, 0.71, 0.63]","[0.67, 5.55, 0.9, 0.52]"
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,2,0.12,-2.03,"[0.73, 0.85, 0.88, 0.64]","[1.0, 1.77, 1.97, 0.59]"
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,3,0.13,-1.92,"[0.67, 1.0, 0.74, 0.61]","[0.72, 5.57, 1.07, 0.46]"
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,2,0.11,-2.09,"[0.99, 0.67, 0.78, 0.99]","[4.5, 0.7, 1.26, 4.44]"
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,3,0.07,-2.57,"[0.99, 0.99, 0.59, 0.99]","[4.22, 4.51, 0.36, 4.31]"
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,3,0.1,-2.2,"[0.99, 0.67, 0.81, 0.99]","[4.54, 0.72, 1.43, 4.38]"
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,4,0.06,-2.72,"[0.99, 0.99, 0.63, 0.99]","[4.26, 4.53, 0.54, 4.26]"
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,2,0.13,-1.92,"[0.63, 0.79, 1.0, 0.56]","[0.53, 1.35, 5.64, 0.26]"
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,3,0.08,-2.47,"[0.56, 0.99, 0.99, 0.53]","[0.25, 5.16, 4.74, 0.13]"
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,3,0.13,-1.92,"[0.64, 0.8, 1.0, 0.55]","[0.58, 1.37, 5.81, 0.2]"
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,4,0.08,-2.46,"[0.57, 0.99, 0.99, 0.52]","[0.3, 5.17, 4.92, 0.07]"
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,3,0.08,-2.5,"[0.98, 0.58, 0.99, 0.98]","[4.08, 0.31, 5.11, 4.05]"
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,4,0.02,-3.95,"[0.98, 0.98, 0.99, 0.98]","[3.8, 4.11, 4.21, 3.92]"
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",0,0,4,0.07,-2.52,"[0.98, 0.58, 0.99, 0.98]","[4.12, 0.32, 5.28, 3.99]"
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",0,0,5,0.02,-3.96,"[0.98, 0.98, 0.99, 0.98]","[3.84, 4.13, 4.38, 3.86]"
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,2,0.02,-4.05,"[0.99, 1.0, 1.0, 0.98]","[4.27, 6.18, 5.3, 3.93]"
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,3,0.02,-4.02,"[0.98, 1.0, 0.99, 0.98]","[3.99, 9.98, 4.4, 3.8]"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,3,0.02,-4.05,"[0.99, 1.0, 1.0, 0.98]","[4.32, 6.2, 5.47, 3.87]"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0,0,4,0.02,-4.03,"[0.98, 1.0, 0.99, 0.98]","[4.04, 10.0, 4.58, 3.74]"
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,3,0.02,-4.08,"[1.0, 0.99, 0.99, 1.0]","[7.82, 5.13, 4.77, 7.73]"
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,4,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.53, 8.94, 3.87, 7.6]"
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 0.99, 1.0]","[7.86, 5.15, 4.94, 7.67]"
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1]",0,0,5,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.58, 8.96, 4.04, 7.54]"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,3,0.02,-4.04,"[0.98, 1.0, 1.0, 0.97]","[3.85, 5.78, 9.15, 3.54]"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",0,0,4,0.02,-4.03,"[0.97, 1.0, 1.0, 0.97]","[3.57, 9.59, 8.25, 3.41]"
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",0,0,4,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.9, 5.8, 9.32, 3.48]"
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",0,0,5,0.02,-4.03,"[0.97, 1.0, 1.0, 0.97]","[3.61, 9.6, 8.42, 3.35]"
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.39, 4.73, 8.62, 7.34]"
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.11, 8.54, 7.72, 7.21]"
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.44, 4.75, 8.79, 7.28]"
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.16, 8.56, 7.89, 7.15]"
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,2,0.02,-4.05,"[0.99, 1.0, 0.99, 0.98]","[4.21, 6.22, 5.28, 3.87]"
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",0,0,3,0.02,-4.02,"[0.98, 1.0, 0.99, 0.98]","[3.93, 10.03, 4.38, 3.74]"
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",0,0,3,0.02,-4.05,"[0.99, 1.0, 1.0, 0.98]","[4.26, 6.24, 5.45, 3.81]"
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",0,0,4,0.02,-4.02,"[0.98, 1.0, 0.99, 0.98]","[3.98, 10.05, 4.55, 3.69]"
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,3,0.02,-4.08,"[1.0, 0.99, 0.99, 1.0]","[7.76, 5.18, 4.75, 7.67]"
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",0,0,4,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.48, 8.99, 3.85, 7.54]"
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 0.99, 1.0]","[7.8, 5.2, 4.92, 7.61]"
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]",0,0,5,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.52, 9.01, 4.02, 7.48]"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,3,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.79, 5.83, 9.13, 3.48]"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",0,0,4,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.51, 9.63, 8.23, 3.35]"
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",0,0,4,0.02,-4.03,"[0.98, 1.0, 1.0, 0.97]","[3.84, 5.85, 9.3, 3.42]"
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,5,0.02,-4.02,"[0.97, 1.0, 1.0, 0.96]","[3.56, 9.65, 8.4, 3.29]"
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.34, 4.78, 8.59, 7.28]"
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.05, 8.59, 7.7, 7.15]"
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,5,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.38, 4.8, 8.76, 7.22]"
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.1, 8.61, 7.87, 7.09]"
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.53, 10.65, 8.79, 7.16]"
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[7.25, 14.46, 7.89, 7.03]"
