X,Y,Predicted,A2,Z2,A1,Z1
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.9,"[0.94, 0.76]","[2.73, 1.17]"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",[0],0,0.03,-3.64,"[0.81, 0.71]","[1.48, 0.88]"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]",[0],0,0.02,-3.76,"[0.88, 0.72]","[1.98, 0.95]"
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]",[0],0,0.03,-3.59,"[0.8, 0.69]","[1.38, 0.78]"
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",[0],0,0.02,-3.72,"[0.87, 0.7]","[1.88, 0.86]"
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",[1],0,0.02,-3.76,"[0.88, 0.72]","[2.02, 0.94]"
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.84,"[0.93, 0.73]","[2.52, 1.02]"
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",[0],0,0.02,-3.72,"[0.87, 0.7]","[1.92, 0.85]"
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.81,"[0.92, 0.72]","[2.43, 0.92]"
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",[0],0,0.03,-3.45,"[0.74, 0.65]","[1.04, 0.61]"
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",[0],0,0.03,-3.6,"[0.82, 0.67]","[1.54, 0.69]"
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",[0],0,0.03,-3.39,"[0.72, 0.63]","[0.95, 0.51]"
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",[0],0,0.03,-3.55,"[0.81, 0.64]","[1.45, 0.59]"
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",[0],0,0.03,-3.6,"[0.83, 0.66]","[1.58, 0.67]"
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",[0],0,0.02,-3.72,"[0.89, 0.68]","[2.08, 0.75]"
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",[0],0,0.03,-3.56,"[0.82, 0.64]","[1.49, 0.58]"
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 1]",[0],0,0.02,-3.68,"[0.88, 0.66]","[1.99, 0.65]"
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",[0],0,0.04,-3.28,"[0.68, 0.59]","[0.74, 0.36]"
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",[0],0,0.03,-3.45,"[0.78, 0.61]","[1.24, 0.44]"
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]",[0],0,0.04,-3.21,"[0.66, 0.57]","[0.64, 0.26]"
"[0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",[0],0,0.03,-3.4,"[0.76, 0.58]","[1.15, 0.34]"
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",[0],0,0.03,-3.46,"[0.78, 0.6]","[1.28, 0.42]"
"[0, 0, 1, 1, 0, 1, 1, 1, 0, 1]",[0],0,0.03,-3.59,"[0.86, 0.62]","[1.78, 0.5]"
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",[0],0,0.03,-3.4,"[0.77, 0.58]","[1.19, 0.33]"
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",[0],0,0.03,-3.54,"[0.84, 0.6]","[1.69, 0.4]"
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",[0],0,0.03,-3.4,"[0.73, 0.63]","[0.97, 0.53]"
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]",[0],0,0.03,-3.56,"[0.81, 0.65]","[1.47, 0.61]"
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",[0],0,0.03,-3.35,"[0.71, 0.61]","[0.88, 0.43]"
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",[0],0,0.03,-3.51,"[0.8, 0.62]","[1.38, 0.51]"
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",[0],0,0.03,-3.56,"[0.82, 0.64]","[1.51, 0.59]"
"[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]",[0],0,0.02,-3.68,"[0.88, 0.66]","[2.01, 0.67]"
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 0]",[0],0,0.03,-3.51,"[0.81, 0.62]","[1.42, 0.5]"
"[0, 0, 1, 1, 1, 0, 0, 1, 1, 1]",[0],0,0.03,-3.64,"[0.87, 0.64]","[1.92, 0.57]"
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",[0],0,0.04,-3.23,"[0.66, 0.57]","[0.67, 0.28]"
"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",[0],0,0.03,-3.41,"[0.76, 0.59]","[1.17, 0.35]"
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0]",[0],0,0.04,-3.16,"[0.64, 0.55]","[0.58, 0.18]"
"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1]",[0],0,0.03,-3.35,"[0.75, 0.56]","[1.08, 0.26]"
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0]",[0],0,0.03,-3.41,"[0.77, 0.58]","[1.21, 0.34]"
"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]",[0],0,0.03,-3.55,"[0.85, 0.6]","[1.71, 0.42]"
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 0]",[0],0,0.03,-3.36,"[0.75, 0.56]","[1.12, 0.24]"
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.5,"[0.83, 0.58]","[1.62, 0.32]"
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",[0],0,0.05,-2.98,"[0.56, 0.5]","[0.23, 0.01]"
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]",[0],0,0.04,-3.19,"[0.68, 0.52]","[0.73, 0.09]"
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0]",[0],0,0.05,-2.92,"[0.54, 0.48]","[0.14, -0.09]"
"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",[0],0,0.04,-3.12,"[0.65, 0.5]","[0.64, -0.01]"
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",[0],0,0.04,-3.2,"[0.68, 0.52]","[0.77, 0.07]"
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 1]",[0],0,0.03,-3.37,"[0.78, 0.54]","[1.27, 0.15]"
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",[0],0,0.04,-3.13,"[0.66, 0.49]","[0.68, -0.02]"
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",[0],0,0.04,-3.31,"[0.77, 0.51]","[1.18, 0.05]"
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",[0],0,0.06,-2.79,"[0.48, 0.44]","[-0.07, -0.24]"
"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1]",[0],0,0.05,-3.0,"[0.61, 0.46]","[0.43, -0.17]"
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",[0],0,0.06,-2.72,"[0.46, 0.42]","[-0.16, -0.34]"
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",[0],0,0.05,-2.93,"[0.58, 0.44]","[0.34, -0.26]"
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",[1],0,0.05,-3.01,"[0.61, 0.46]","[0.47, -0.18]"
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1]",[0],0,0.04,-3.2,"[0.72, 0.47]","[0.97, -0.1]"
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",[0],0,0.05,-2.94,"[0.59, 0.43]","[0.38, -0.27]"
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[0],0,0.04,-3.14,"[0.71, 0.45]","[0.88, -0.2]"
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",[0],0,0.02,-3.75,"[0.82, 0.78]","[1.52, 1.29]"
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.86,"[0.88, 0.8]","[2.02, 1.37]"
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",[1],0,0.02,-3.71,"[0.81, 0.77]","[1.43, 1.19]"
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.83,"[0.87, 0.78]","[1.93, 1.27]"
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.86,"[0.89, 0.79]","[2.06, 1.35]"
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.94,"[0.93, 0.81]","[2.56, 1.43]"
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.83,"[0.88, 0.78]","[1.97, 1.26]"
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.91,"[0.92, 0.79]","[2.47, 1.33]"
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",[0],0,0.03,-3.62,"[0.77, 0.74]","[1.22, 1.04]"
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",[0],0,0.02,-3.75,"[0.85, 0.75]","[1.72, 1.12]"
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",[0],0,0.03,-3.57,"[0.75, 0.72]","[1.12, 0.94]"
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",[0],0,0.02,-3.71,"[0.84, 0.73]","[1.62, 1.02]"
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",[0],0,0.02,-3.75,"[0.85, 0.75]","[1.76, 1.1]"
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.85,"[0.91, 0.76]","[2.26, 1.18]"
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",[0],0,0.02,-3.71,"[0.84, 0.73]","[1.66, 1.01]"
"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.82,"[0.9, 0.75]","[2.16, 1.08]"
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",[0],0,0.03,-3.41,"[0.69, 0.68]","[0.78, 0.77]"
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",[0],0,0.03,-3.58,"[0.78, 0.7]","[1.28, 0.85]"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",[0],0,0.03,-3.36,"[0.67, 0.66]","[0.69, 0.67]"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",[0],0,0.03,-3.53,"[0.77, 0.68]","[1.19, 0.75]"
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",[0],0,0.03,-3.59,"[0.79, 0.7]","[1.32, 0.83]"
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",[0],0,0.02,-3.72,"[0.86, 0.71]","[1.82, 0.91]"
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",[0],0,0.03,-3.54,"[0.77, 0.68]","[1.23, 0.74]"
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1]",[0],0,0.02,-3.68,"[0.85, 0.69]","[1.73, 0.81]"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",[0],0,0.04,-3.23,"[0.62, 0.63]","[0.48, 0.52]"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",[0],0,0.03,-3.42,"[0.73, 0.64]","[0.98, 0.6]"
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",[0],0,0.04,-3.17,"[0.59, 0.6]","[0.38, 0.42]"
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",[0],0,0.03,-3.37,"[0.71, 0.62]","[0.88, 0.5]"
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",[0],0,0.03,-3.43,"[0.73, 0.64]","[1.02, 0.58]"
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",[0],0,0.03,-3.59,"[0.82, 0.66]","[1.52, 0.66]"
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]",[0],0,0.03,-3.38,"[0.72, 0.62]","[0.92, 0.49]"
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",[0],0,0.03,-3.54,"[0.81, 0.64]","[1.43, 0.56]"
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",[0],0,0.03,-3.37,"[0.67, 0.67]","[0.71, 0.69]"
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",[0],0,0.03,-3.54,"[0.77, 0.68]","[1.21, 0.77]"
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",[0],0,0.04,-3.31,"[0.65, 0.64]","[0.62, 0.59]"
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",[0],0,0.03,-3.49,"[0.75, 0.66]","[1.12, 0.67]"
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",[0],0,0.03,-3.55,"[0.78, 0.68]","[1.25, 0.75]"
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",[0],0,0.02,-3.68,"[0.85, 0.7]","[1.75, 0.83]"
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]",[0],0,0.03,-3.5,"[0.76, 0.66]","[1.16, 0.66]"
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]",[0],0,0.03,-3.64,"[0.84, 0.68]","[1.66, 0.73]"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",[0],0,0.04,-3.18,"[0.6, 0.61]","[0.41, 0.44]"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",[0],0,0.03,-3.38,"[0.71, 0.63]","[0.91, 0.51]"
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",[0],0,0.04,-3.12,"[0.58, 0.58]","[0.31, 0.34]"
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",[0],0,0.03,-3.32,"[0.69, 0.6]","[0.82, 0.42]"
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",[0],0,0.03,-3.39,"[0.72, 0.62]","[0.95, 0.5]"
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]",[0],0,0.03,-3.55,"[0.81, 0.64]","[1.45, 0.58]"
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",[0],0,0.03,-3.33,"[0.7, 0.6]","[0.86, 0.4]"
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.49,"[0.8, 0.62]","[1.36, 0.48]"
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",[0],0,0.05,-2.94,"[0.49, 0.54]","[-0.03, 0.17]"
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",[0],0,0.04,-3.15,"[0.62, 0.56]","[0.47, 0.25]"
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]",[1],0,0.05,-2.87,"[0.47, 0.52]","[-0.12, 0.07]"
"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",[0],0,0.04,-3.08,"[0.59, 0.54]","[0.38, 0.15]"
"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",[0],0,0.04,-3.16,"[0.63, 0.56]","[0.51, 0.23]"
"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",[0],0,0.03,-3.35,"[0.73, 0.58]","[1.01, 0.31]"
"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",[0],0,0.04,-3.09,"[0.6, 0.53]","[0.42, 0.14]"
"[0, 1, 0, 0, 1, 1, 0, 1, 1, 1]",[0],0,0.04,-3.29,"[0.72, 0.55]","[0.92, 0.21]"
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",[0],0,0.06,-2.74,"[0.42, 0.48]","[-0.33, -0.08]"
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]",[0],0,0.05,-2.95,"[0.54, 0.5]","[0.17, -0.01]"
"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",[0],0,0.06,-2.67,"[0.4, 0.46]","[-0.42, -0.18]"
"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1]",[0],0,0.05,-2.89,"[0.52, 0.47]","[0.08, -0.1]"
"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",[0],0,0.05,-2.96,"[0.55, 0.5]","[0.21, -0.02]"
"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",[0],0,0.04,-3.17,"[0.67, 0.51]","[0.71, 0.06]"
"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",[0],0,0.05,-2.9,"[0.53, 0.47]","[0.12, -0.11]"
"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",[0],0,0.04,-3.11,"[0.65, 0.49]","[0.62, -0.04]"
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",[0],0,0.03,-3.61,"[0.77, 0.73]","[1.2, 1.02]"
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.74,"[0.85, 0.75]","[1.7, 1.1]"
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",[0],0,0.03,-3.56,"[0.75, 0.72]","[1.11, 0.92]"
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.7,"[0.83, 0.73]","[1.61, 1.0]"
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.75,"[0.85, 0.75]","[1.74, 1.08]"
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.85,"[0.9, 0.76]","[2.24, 1.16]"
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.7,"[0.84, 0.73]","[1.65, 0.99]"
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.81,"[0.9, 0.74]","[2.15, 1.06]"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",[0],0,0.03,-3.45,"[0.71, 0.68]","[0.9, 0.77]"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",[0],0,0.03,-3.61,"[0.8, 0.7]","[1.4, 0.84]"
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",[1],0,0.03,-3.39,"[0.69, 0.66]","[0.8, 0.67]"
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",[0],0,0.03,-3.56,"[0.79, 0.68]","[1.31, 0.75]"
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",[0],0,0.03,-3.62,"[0.81, 0.7]","[1.44, 0.83]"
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.74,"[0.87, 0.71]","[1.94, 0.91]"
"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",[0],0,0.03,-3.57,"[0.79, 0.68]","[1.35, 0.73]"
"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.7,"[0.86, 0.69]","[1.85, 0.81]"
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",[0],0,0.04,-3.22,"[0.61, 0.62]","[0.46, 0.5]"
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]",[0],0,0.03,-3.41,"[0.72, 0.64]","[0.96, 0.58]"
"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",[0],0,0.04,-3.16,"[0.59, 0.6]","[0.37, 0.4]"
"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",[0],0,0.03,-3.36,"[0.7, 0.62]","[0.87, 0.48]"
"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",[0],0,0.03,-3.42,"[0.73, 0.64]","[1.0, 0.56]"
"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",[0],0,0.03,-3.58,"[0.82, 0.65]","[1.5, 0.64]"
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",[0],0,0.03,-3.36,"[0.71, 0.61]","[0.91, 0.47]"
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",[0],0,0.03,-3.53,"[0.8, 0.63]","[1.41, 0.54]"
"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",[0],0,0.05,-3.03,"[0.54, 0.56]","[0.16, 0.25]"
"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",[0],0,0.04,-3.24,"[0.66, 0.58]","[0.66, 0.32]"
"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",[0],0,0.05,-2.97,"[0.52, 0.54]","[0.07, 0.15]"
"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",[0],0,0.04,-3.18,"[0.64, 0.56]","[0.57, 0.23]"
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",[0],0,0.04,-3.25,"[0.67, 0.58]","[0.7, 0.31]"
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",[0],0,0.03,-3.42,"[0.77, 0.6]","[1.2, 0.39]"
"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",[0],0,0.04,-3.18,"[0.65, 0.55]","[0.61, 0.21]"
"[0, 1, 0, 1, 0, 1, 1, 1, 1, 1]",[0],0,0.03,-3.37,"[0.75, 0.57]","[1.11, 0.29]"
"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",[0],0,0.04,-3.17,"[0.6, 0.6]","[0.39, 0.42]"
"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",[0],0,0.03,-3.37,"[0.71, 0.62]","[0.89, 0.49]"
"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]",[0],0,0.04,-3.11,"[0.57, 0.58]","[0.3, 0.32]"
"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]",[0],0,0.04,-3.31,"[0.69, 0.6]","[0.8, 0.4]"
"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",[0],0,0.03,-3.38,"[0.72, 0.62]","[0.93, 0.48]"
"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",[0],0,0.03,-3.54,"[0.81, 0.64]","[1.43, 0.56]"
"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",[0],0,0.03,-3.32,"[0.7, 0.6]","[0.84, 0.38]"
"[0, 1, 0, 1, 1, 0, 0, 1, 1, 1]",[0],0,0.03,-3.49,"[0.79, 0.61]","[1.34, 0.46]"
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",[0],0,0.05,-2.98,"[0.52, 0.54]","[0.09, 0.17]"
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]",[0],0,0.04,-3.19,"[0.64, 0.56]","[0.59, 0.24]"
"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",[0],0,0.05,-2.91,"[0.5, 0.52]","[-0.0, 0.07]"
"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1]",[0],0,0.04,-3.12,"[0.62, 0.54]","[0.5, 0.15]"
"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",[0],0,0.04,-3.2,"[0.65, 0.56]","[0.63, 0.23]"
"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]",[0],0,0.03,-3.38,"[0.76, 0.58]","[1.13, 0.31]"
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]",[0],0,0.04,-3.13,"[0.63, 0.53]","[0.54, 0.13]"
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.32,"[0.74, 0.55]","[1.04, 0.21]"
"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",[0],0,0.06,-2.73,"[0.41, 0.47]","[-0.35, -0.1]"
"[0, 1, 0, 1, 1, 1, 0, 0, 0, 1]",[0],0,0.05,-2.94,"[0.54, 0.49]","[0.15, -0.03]"
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]",[0],0,0.07,-2.66,"[0.39, 0.45]","[-0.44, -0.2]"
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",[0],0,0.05,-2.88,"[0.52, 0.47]","[0.06, -0.12]"
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 0]",[0],0,0.05,-2.95,"[0.55, 0.49]","[0.19, -0.04]"
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]",[0],0,0.04,-3.16,"[0.67, 0.51]","[0.69, 0.04]"
"[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",[0],0,0.05,-2.89,"[0.53, 0.47]","[0.1, -0.13]"
"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1]",[0],0,0.04,-3.1,"[0.65, 0.49]","[0.6, -0.06]"
"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",[0],0,0.07,-2.54,"[0.34, 0.41]","[-0.65, -0.35]"
"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1]",[0],0,0.06,-2.74,"[0.46, 0.43]","[-0.15, -0.28]"
"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",[1],0,0.08,-2.48,"[0.32, 0.39]","[-0.74, -0.45]"
"[0, 1, 0, 1, 1, 1, 1, 0, 1, 1]",[0],0,0.06,-2.68,"[0.44, 0.41]","[-0.24, -0.37]"
"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]",[0],0,0.06,-2.75,"[0.47, 0.43]","[-0.11, -0.29]"
"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]",[0],0,0.05,-2.97,"[0.6, 0.45]","[0.39, -0.21]"
"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",[0],0,0.06,-2.69,"[0.45, 0.4]","[-0.2, -0.39]"
"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",[0],0,0.05,-2.9,"[0.57, 0.42]","[0.3, -0.31]"
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",[0],0,0.02,-3.84,"[0.88, 0.78]","[2.02, 1.29]"
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.93,"[0.93, 0.8]","[2.52, 1.37]"
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",[0],0,0.02,-3.81,"[0.87, 0.77]","[1.92, 1.19]"
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.9,"[0.92, 0.78]","[2.43, 1.27]"
"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.93,"[0.93, 0.79]","[2.56, 1.35]"
"[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.98,"[0.96, 0.81]","[3.06, 1.43]"
"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",[1],0,0.02,-3.9,"[0.92, 0.78]","[2.47, 1.26]"
"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.96,"[0.95, 0.79]","[2.97, 1.33]"
"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",[0],0,0.02,-3.73,"[0.85, 0.74]","[1.71, 1.04]"
"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",[0],0,0.02,-3.83,"[0.9, 0.75]","[2.21, 1.12]"
"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",[0],0,0.02,-3.69,"[0.83, 0.72]","[1.62, 0.94]"
"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",[0],0,0.02,-3.8,"[0.89, 0.74]","[2.12, 1.02]"
"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",[0],0,0.02,-3.83,"[0.9, 0.75]","[2.25, 1.1]"
"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.91,"[0.94, 0.76]","[2.75, 1.18]"
